Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
The Life of Flavius Josephus,LSOE Publications,Paperback,USD 10.12,"The Life of Flavius Josephus is an autobiographical text written by Josephus in approximately 94-99 CE – possibly as an appendix to his Antiquities of the Jews – where the author for the most part re-visits the events of the War, apparently in response to allegations made against him by Justus of Tiberias.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): LSOE Publications,31,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['flavius josephus']
"Nathan, Shipbuilder of Spain",Alice Lockmiller,Paperback,USD 9.95,"In 1480 AD, Spain is a Catholic country.  Spanish Jews are being tortured and forced to become Christians at the beginning of the Spanish Inquisition.  Nathan is a fourteen year-old apprentice shipbuilder who is building a special ship.  Will he help his Jewish uncle escape on that ship?  Will he fulfill his dream and sail on her too?",2011,English,9781257112548,Fiction,All Rights Reserved - Standard Copyright License,By (author): Alice Lockmiller,148,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Teen', 'Tween', 'Historical Fiction', 'Spain', 'Youth', 'Ages 10-12', 'Homeschooling', 'boy', 'World History', 'Catholic']"
Альманах 2/2022,Dr. Evgueni Berkovitch,Paperback,USD 25.35,"Альманах «Еврейская Старина» содержит эксклюзивные работы авторов сетевого портала «Заметки по еврейской истории» (http://berkovich-zametki.com). Статьи посвящены разнообразным вопросам еврейской истории, традиции, культуры. Старина - категория не времени, а качества: всё станет когда-нибудь стариной, если не умрет раньше.",2022,Russian,9781471611803,History,All Rights Reserved - Standard Copyright License,Editor-in-chief: Dr. Evgueni Berkovitch,480,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Starina', 'Starina', ""al'manakh"", 'jews', 'juden', 'thora', 'israel']"
Chemical Silence: Mapping the Cryptic Hinterlands of Paul Celan’s Un-Germanness,Daniel Deleanu,Paperback,USD 18.50,"An exploration of the unique ways in which Paul Celan, a Holocaust survivor, managed to write poetry in the language of his jailers and of those who murdered his parents.",2016,English,9781365432293,Poetry,All Rights Reserved - Standard Copyright License,By (author): Daniel Deleanu,136,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bukowina', 'Holocaust', 'Romanian Jews', 'Romanian poets', 'Heidegger']"
"Ethiopia: The Land, Its People, History  and Culture","Yohannes K. Mekonnen, Editor",Paperback,USD 29.49,"This book is a general survey of Ethiopia as a country and its people. It focuses on many subjects about Ethiopia's history, geography, politics, ethnic groups and their cultures. The book also covers Eritrea - its people, history and culture - but the main focus of the book is on Ethiopia.",2013,English,9781300691921,History,All Rights Reserved - Standard Copyright License,"By (author): Yohannes K. Mekonnen, Editor",406,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Ethiopia', 'Eritrea', 'Haile Selassie', 'Amhara', 'Ethiopian Jews']"
Nazi Germany Bk 6,peter dancey,Ebook,USD 3.01,As Hitler continued his political plans for a Greater Germany he introduced an asocial department into the goverment so that all civil servants employed by the goverment come from a chosen 'pure' class defined a white with fair hair and blue eyes - a mater class. And already plans to exterminate the Jews were formulating.,2016,English,9781326529673,History,All Rights Reserved - Standard Copyright License,By (author): peter dancey,,,,,EPUB,"['Nazi Germany', 'asocial']"
"Jesus, the Early Years: A Fictional Account",Ken Sutherland,Ebook,USD 9.99,"In Jesus, the Early Years, author Ken Sutherland brings alive the chaotic world of the beginning of the Christian era. This fictional account explains how a carpenter’s son acquired such an understanding of the Jewish scriptures. 

This narrative answers many of the questions surrounding the story of Jesus and his family. 

How did Mary and Joseph, raised about ninety miles apart, meet? 
How did Jesus receive his education? 
Where did he obtain access to scrolls? 
Where did he spend his childhood? 
Who were the Magi and what drove them to travel hundreds of miles across the desert to Bethlehem? 
Which city in the world had the largest population of Jews? 

Filled with both historical and fictional accounts to suggest answers to these and many more questions, Jesus, the Early Years describes the tumultuous and unstable world of the Middle East under Roman rule and how Jesus and his fellow Jews lived during that time.",2017,English,9781483462806,Fiction,All Rights Reserved - Standard Copyright License,By (author): Ken Sutherland,,,,,EPUB,"['Jesus as a-child', 'Biblical fiction', 'Ancient Israel', 'Alexandrian Jews']"
Aramaic-Translated Korean New Testament,Shin Kang,Paperback,USD 50.00,"During the era of Jesus Christ, Jews spoke three languages, Hebrew, Aramaic and Greek. People faithful to the laws of Moses spoke Hebrew. Common people spoke Aramaic. Upper Class people spoke Greek. Jesus spoke in Aramaic with his Disciples and followers. This translation is directly from Aramaic unlike the majority of translations which were made from Greek.",2023,Korean,9781312662216,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Shin Kang,646,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Aramaic', 'Korean', 'Bible', 'New Testament', 'Translation']"
What is the Name of the Father of Jesus?,Rodolfo Martin Vitangcol,Ebook,USD 2.99,"Does the Father of Jesus have a name?

The God of the Jews and the Christians has a name—Yahweh.

The God of the Muslims has a name—Allah.

The God of the Hindus has a name—Brahman.

The God in the Greek mythology has a name—Zeus.

How about the Father of Jesus?

Happy reading!",2022,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rodolfo Martin Vitangcol,,,,,EPUB,"['Christianity destroyed Jesus', 'False doctrine of Christianity', 'Christians are antichrist', 'Truth and lies of Christianity', 'Christianity Revolution', 'Christianity exposed', 'The fake religion', 'Fake Apostle Paul', 'Fake church', 'Truth about Christianity', 'Antichristian']"
The Train Window,Lilah Kutikov,Paperback,USD 15.00,The Nazis. Rachel doesn’t know why they came. It’s undetermined. Why were the Jews the ones to blame? Rachel has so many unanswered questions. These questions haunt her as she sits with a cat on a train and her story unfolds. Will she ever soar outside that bleak train window? The journal might have the answer.,2021,English,9781105369827,Fiction,All Rights Reserved - Standard Copyright License,By (author): Lilah Kutikov,33,Saddle Stitch,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['written out loud', 'WrittenOutLoud', 'wol']"
חנוכה,Smadar Ifrach,Paperback,USD 24.99,"Cookbook of the Jewish holiday:Hanukkah,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare,recipes can be on the table in 30 minutes and even less, kosherrecipes,highly recommended!!!   10%%%% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9780359042029,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,32,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['Book', 'Recipes', 'cooking', 'Jewish', 'dishes', 'Salads', 'fruits', 'vegetables', 'kosher', 'Hanukkah', 'smadar', 'smadar ifrach']"
INT 244 Grand Canyon Week 2 Assignment,Nic Klaus,Paperback,USD 5.00,"To get this tutorial follow this link:

http://dodohelp.com/INT-244-Grand-Canyon/INT-244-Grand-Canyon-Week-2-Assignment

Investigating Judaism

INT244

INT 244 Grand Canyon Week 2 Assignment

Investigating Judaism

Details:

In a personal reflection of 1,000 – 1,250 words, address the following:

What are some misunderstandings that Jews and Christians may have about each other?",2016,English,N/A,Business & Economics,All Rights Reserved - Standard Copyright License,By (author): Nic Klaus,2,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['INT', 'INT244', 'INT244 GrandCanyon', 'INT244 GrandCanyon Week2', 'INT244 GrandCanyon Week2Assignment']"
they were there,Ronald Winch,Paperback,USD 17.64,"An in-depth history of Jews who served in the military forces of the United States from the earliest days up to the year 1977. A history, not only of the famous heroes but also of the loyal and dedicated unsung heroes who served in all services and all ranks. They were there...",2009,English,9780557084159,History,All Rights Reserved - Standard Copyright License,By (author): Ronald Winch,216,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish', 'Military', 'Civil War', 'Revolutionary War', 'Vietnam', 'Korea']"
Maréchal nous voilà,Guy Weiner,Paperback,USD 15.00,Maréchal nous voilà est le récit d'une famille juive cachée par des paysans du Gers pendant la Seconde Guerre Mondiale.,2020,French,9781716964732,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Guy Weiner,48,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['juifs', 'gers', 'france', 'guerre', 'ww2', 'jews', 'jewish']"
ARAMAIC AND HEBREW,Camilo Ezagüi,Ebook,USD 2.99,The Languages spoken in Judea during the 1st Century AD based on the latest archeology findings.,2013,English,9781291671612,History,All Rights Reserved - Standard Copyright License,By (author): Camilo Ezagui,,,,,PDF,"['Aramaic', 'Hebrew', 'Jesus', 'Jews', 'Judea', 'Qumran', 'Archeology', 'Research']"
"Stepping into the Light: You're a Christian, what now?",Diane L. Harris,Ebook,USD 4.99,"A former atheist who grew up in the Episcopal Church while her brothers were raised as Jews, Diane L. Harris had a born-again experience at the age of 44 and heard God calling her to ministry a few months later. Minister Harris shares her story with clarity and humor in this thoughtfully planned guidebook aimed at new adult Christians but useful to any soul focused on spiritual expansion.",2011,English,9781105759901,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Diane L. Harris,,,,,PDF,"['new Christian', 'discipleship', 'christianity', 'Christ', 'bible', 'biblical', 'baptism', 'baptist', 'healing', 'atheist', 'atheism', 'judaism', 'jewish', 'episcopal', 'interracial', 'interfaith', 'faith', 'dual-faith', 'minister', 'rebirth', 'born again', 'struggle']"
"World War III - The Second Exodus, Y'sra'el's Return Journey Home (Paperback)",Rabbi Simon Altaf,Paperback,USD 26.64,"How will the genetic Hebrews be taken back to the land? Are the present day Jews in Y’sra’el of ancient stock? Is there any prophecy of foreigners invading Y’sra’el and inhabiting the land? How will G-d have war with Amalek and wipe them out and who is Amalek today? Why is the Church so confused about bible prophecy?
How will the end come and how will the Y’sraelites go back home? Is this via the rapture or marching back on foot? What happens if we die in our exile? And many more questions answered.  The time has come to expose the errors or others.",2013,English,9781312965737,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rabbi Simon Altaf,336,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['World', 'war', 'antichrist', 'real', 'Jews', '666', 'second', 'exodus', 'Israelites']"
Babiy Yar EN,Нели Мельман,Paperback,USD 10.50,"September 19, 1941, the Germans occupied Kiev. A few days later all the Jews were ordered to wear yellow stars and get ready for sending. They must to take the documents and jewelry.  
On 29–30 September,1941 the eve of Yom Kippur endless stream under strict guard in the streets mostly women, children, and the elderly walked in the direction of Babiy Yar...",2017,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Neli Mel'man,12,Saddle Stitch,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['Babiy Yar  WW2']
My Mother's Home Town,George Pereny,Paperback,USD 12.50,"My mother's family, my godfather, and my confirmation sponsor,  were all from a small Hungarian town called Gyongyos in Heves(mountainous) County an hour north of Budapest at the feet of the Matra Mountains on the northern end of the Great Hungarian Plain.   In 1944, there were 22,000 people living in Gyongyos, including about 2500 Jews, most of whom, like my mother's family, perished.  A handful, including my mother, survived.  This is their story.",2017,English,9781365652387,History,All Rights Reserved - Standard Copyright License,By (author): George Pereny,60,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Gyongyas', 'Hungary', 'Communists', 'Nazis']"
Hanukkah,Smadar Ifrach,Paperback,USD 24.99,"Cookbook of the Jewish holiday:Hanukkah,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare,recipes can be on the table in 30 minutes and even less, kosherrecipes,highly recommended!!!    10%% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,English,9780359040780,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,32,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['Book', 'Recipes', 'cooking', 'Jewish', 'dishes', 'Salads', 'fruits', 'vegetables', 'kosher', 'Hanukkah', 'baking', 'children', 'kids', 'smadar', 'smadar ifrach']"
"Nathan, Shipbuilder of Spain",Alice Lockmiller,Ebook,USD 4.95,"In 1480 AD, Spain is a Catholic 
country.  Spanish Jews are being 
tortured and forced to become 
Christians at the beginning of 
the Spanish Inquisition.

    Nathan is a fourteen year-old 
apprentice shipbuilder who is 
building a special ship.  Will he 
help his Jewish uncle escape on 
that ship?   Will he fulfill his 
dream and sail on her too?",2012,English,9781105790256,Fiction,All Rights Reserved - Standard Copyright License,By (author): Alice Lockmiller,,,,,EPUB,"['Spain', 'Spanish Inquisition', 'home schooling', 'ages 10-12', 'Historical fiction', 'Nathan', 'Ships']"
THE NEW COVENANT OF GRACE,APOSTLE PASCAL UKOHA,Paperback,USD 8.00,There came a time when the people of God no longer do the things God wants and He had to send a person to God’s people and the people of God had to kill the person whom God sent so that the people of God will have everything that God left for the people to take care of in God’s absence and when the people of God killed the person God sent the people had think that it is over. The person whom God sent is Jesus Christ whom the Jews made to suffer as if to say Jesus Christ was a sinner God sent Jesus Christ to the people of God to save the people of God from the curse that comes from being unable to keep the whole laws which was given to Jews.,2019,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): APOSTLE PASCAL UKOHA,268,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['NCG']
חגי ישראל,Smadar Ifrach,Paperback,USD 19.99,"Cookbook of the Jewish holidays, festive and special holiday dishes, and customs of the Jews, kosher recipe, it is very easy to prepare, and recipes can be on the table in 30 minutes and even less kosher recipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,N/A,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,102,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['Holiday', 'Cooking', 'Baking', 'kosher', 'Jewish', 'book', 'recipes', 'dishes', 'salads', 'fruits', 'new year', 'yom kippur', 'succot', 'simchat torah', 'bakery', 'vegetables', 'smadar', 'Tu Bishvat', 'Independence Day', 'Passover', 'Shavuot', 'Hanukkah', 'Purim', 'smadar ifrach']"
The Evidence of Discipleship,"Rev.Dr. Roy P. Jones, Jr.",Paperback,USD 15.00,"John 8:31 says, “Then said Jesus to those Jews which believed on him, If ye continue in my word, then are ye my disciples indeed…” In today’s society, the road of discipleship is a long and arduous road. There are many called but few that stay the course. Dr. Roy Jones, Jr. in his book, The Evidence of Discipleship, has created a tool for leaders to aid in their understanding of their role as a disciple of Christ. In the words of Oswald Chambers, “We talk about the joys and comforts of salvation; Jesus Christ talks about taking up the cross and following him.”",2015,English,9781329650893,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Rev.Dr. Roy P. Jones, Jr.",46,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Discipleship', 'Christ', 'Love', 'Commandments', 'Unity', 'Peace']"
THE END OF THE PRESENT WORLD,Canon Arminjon,Paperback,USD 24.95,"This book played a crucial role in the life of Saint Thérèse of the Child Jesus who warmly recommended it. Canon Arminjon recounts all that Scripture contains and that tradition transmits about the last times of this world, Antichrist, the conversion of the Jews, the two witnesses, death, judgment, heaven and hell, eternity. He explains the life of Christian sacrifice as the key to eternal glory. Fascinating and readable, Arminjon's book changes lives ! The Tradibooks translation remains as of 2010 the ONLY unabridged, unexpurgated English version of this Catholic bestseller on the market.",2008,English,9782952916219,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Canon Arminjon,257,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Saint Therese', 'Heaven', 'Hell', 'Antichrist', 'End of World']"
Blitz and Pieces,Sarah Pepper,Hardcover,USD 19.96,"Rachel Estema and her three children, David, Mary and Miriam live a happy life, well they did. 
The second world war is
about to begin so Rachel
and her children have to flee
from Germany as the Nazis
are hunting down all of the
Jews. But there are some horrible surprises on the way
for the three children.....",2017,English,9780244022631,Fiction,All Rights Reserved - Standard Copyright License,By (author): Sarah Pepper,24,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Hitler Gets Elected', 'Real Life', 'Fiction']"
Civil Rites...,R Brian James,Paperback,USD 17.42,"NYPD on meth and raping young girls is nothing new in New York City, nor is the HATRED of Jews...but there WAS a time when Negroes and their Malcolm X enemies got along?

There WAS a time when you could drop acid AND discover Jesus and Jimi Hendrix??

TAKE a walk through the Sixties BEFORE James Brown discovered he was ""black"" and proud",2014,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): R Brian James,375,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['nypd', 'rape', 'murder', 'rolling stones', 'rastafari', 'nyc', 'hate']"
Mary's Treasures,Doris Demick,Paperback,USD 14.99,"Get to know Mary just before her betrothal to Joseph and follow the Holy Family through to Jesus's first couple years as a toddler, until they returned home to Nazareth. Get acquainted with Mary and Joseph as they avoid King Herod's men who want to kill Baby Jesus as the prophets called Him the 'King of the Jews'.  See what strength, faith and love it took Mary and Joseph to protect their child, the Son of God.  

This story will help bring you closer to Mary and 'her treasures' that she held dear to her heart.  A must for every Christian family at Christmas time...",2012,English,9781300474432,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Doris Demick,167,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Holy Family', 'Christmas Story', 'Nativity', 'Mary', 'Joseph', 'baby Jesus']"
The People of the Apocalypse,Evangelist Larry E. Wolfe,Paperback,USD 21.68,"Each chapter of ""The People of the Apocalypse"" is a separate in-depth Bible study that focuses upon those who appear in prophetic Scripture. By utilizing the Lord Jesus Christ's chronological unfolding of the End Times in Matthew 24: 3-31, each person or people group is studied in order to show their individual role in Bible prophecy. This Bible study method provides insight into how God will bring to pass His purposes during the last days. Many views of when the raputre occurs abound today, including the Pre-Trib/Pretribulation, Mid-Trib/Midtrib, Post Trib/Post Tribulation theories, and Pre-wrath/Prewrath. But the Lord's primary focal points of the End Times are His Church, His holy people the Jews, and His holy city Jerusalem. He will rapture His Church and send His prophets, along with the 144 thousand, to the Jews in order to bring to pass their glorious redemption. This book is an excellent tool for personal Bible Study or as a teaching resource for the study of prophecy.",2007,English,9780615171036,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Evangelist Larry E. Wolfe, By (author): www. btmi.org",317,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bible', 'prewrath', 'pre-wrath', 'prophecy', 'Jesus', 'Christ', 'God', 'revelation', 'tribulation', 'rapture']"
An Index to the Jewish Community of the British Isles in 1851,Petra Laidlaw,Paperback,USD 54.32,"This is a revised and expanded edition of the volume published in 2010, now listing over 29,000 of the estimated 32,000 Jews living in the British Isles (England, Wales, Scotland, Ireland, the Channel Islands and the Isle of Man) in 1851. It gives summary details, wherever known, of when and where they were born, their parents, spouses, their residence in 1851 and occupation. It facilitates searches on a much fuller database which is freely available online.",2010,English,9781445750200,History,All Rights Reserved - Standard Copyright License,By (author): Petra Laidlaw,699,Paperback,Black & White,A4 (8.27 x 11.69 in / 210 x 297 mm),,"['History of Anglo-Jewry', 'historical demography', 'Jewish genealogy']"
The Jew of Malta,Christopher Marlowe,Paperback,USD 8.43,"The Jew of Malta is a play by Christopher Marlowe, probably written in 1589 or 1590. Its plot is an original story of religious conflict, intrigue, and revenge, set against a backdrop of the struggle for supremacy between Spain and the Ottoman Empire in the Mediterranean that takes place on the island of Malta. The title character, Barabas, dominates the play's action.There has been extensive debate about the play's portrayal of Jews and how Elizabethan audiences would have viewed it. The Jew of Malta is considered to have been a major influence on William Shakespeare's The Merchant of Venice.The first recorded performance was in 1592; the play was acted by Lord Strange's Men seventeen times between 26 February 1592 and 1 February 1593.
Excerpt from: https://en.wikipedia.org/wiki/The_Jew_of_Malta

Hint: You can preview this book by clicking on ""Preview"" which is located under the cover of this book.",2016,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Christopher Marlowe,170,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['christopher', 'drama', 'jew', 'jews', 'malta', 'marlowe', 'tragedies']"
Oil and Water,Levi Kaufman,Paperback,USD 11.95,"""Oil and Water"" is set nearly a century after the building of Jerusalem's Second Temple. Alexander the Great, the Greek conqueror, is dead and his empire is split; its Middle Eastern division contested by the Ptolemies of Egypt and the Syrian Seleucids. 
Tens of thousands of Jews, taken to Egypt as slaves some decades before, have only recently been freed.  Some of these Jews, though deeply changed by their difficult experiences, sought to return to a homeland many of them had never seen...a homeland which might not even want them back. 
""Oil and Water,"" an historical novel, explores ancient political movements and fundamental struggles over power, glory and, for some, over truth.  The book also probes one young man's very personal struggle to choose between idealism and assimilation; between his great thirst to drink from the waters of the Torah and the pain and loneliness of cultural alienation.",2005,English,9781435722224,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Levi Kaufman,164,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish history', 'mikdash', 'temple', 'shimon hatzadik', 'alexander the great']"
Judah Awakening,Yahnwe Okeke,Ebook,USD 8.99,"As the prophet was commanded in Ezekiel 40:4, so too was author Yahnwe Okeke instructed to document everything that was disclosed to her through dreams and visions concerning the Judaic roots of the Igbo people of Southeast Nigeria. In Judah Awakening, she chronicles the day-to-day experiences-cum-revelations. A written record of her spiritual encounters and confirmation from internet research, she shares details of her visions and dreams as they happened on different days beginning July 1, 2018, and continuing until the last day, January 24, 2019. Okeke summarizes her journey and highlights the key words which symbolize the core message of her experience. Judah Awakening presents an insightful journal of Okeke’s supernatural revelations of the Israel ancestry of the Igbos of South-East Nigeria, providing the words the Holy Spirit spoke regarding any connections between Israelites and Igbos. It offers a work that touches on religion, science, culture, and so much more.",2019,English,9781684707683,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Yahnwe Okeke,,,,,EPUB,"['Igbo Jews', 'Judah Awakening', 'Aliyah', 'regathering Israel']"
Out of Egypt Have I Called My Son  The Story of Blacks In the Bible,ZoserResearch Society,Paperback,USD 15.99,"This scroll is designed to dispel the lies perpetuated by archeologists, historians, religious scholars and others who teach the Hebrew or Jews of the bible were not African.  This scroll will give you scriptural support as well as well documented narratives to prove the ancient people of God were in fact black African people.   It will also address who the original natives of America were and how they looked according to early European explorers of America.   This book will show proof of Africans who not only ruled Jerusalem but also the Americas.   It places Egypt back on the African continent and not in the so called Middle East.",2017,English,9781387466269,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): ZoserResearch Society,128,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Egypt', 'Olmecs', 'Cush', 'Judah', 'Yashua', 'Nubian']"
THE SPY WITH A DOUBLE LIFE,JAMES BOND,Paperback,USD 18.99,Darla Harriet and Scott Fleming must deal with Pier Frontier in Russia and even deal with a toxic substance criminal and even criminals in China and Cambodia during 1948. The only thing is Darla and Ian have to deal with other criminals in China and Cambodia that burns Jews in large ovens in Communist concentration camps too.,2019,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): JAMES BOND,104,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['JAMES BOND']
Hanukkah,Smadar Ifrach,Ebook,USD 9.99,"Cookbook of the Jewish holiday:Hanukkah,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare,recipes can be on the table in 30 minutes and even less, kosherrecipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,English,9780359022113,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['Book', 'Recipes', 'cooking', 'Jewish', 'dishes', 'Salads', 'fruits', 'vegetables', 'kosher', 'Hanukkah', 'baking', 'children', 'kids', 'smadar', 'smadar ifrach']"
חנוכה,Smadar Ifrach,Ebook,USD 9.99,"Cookbook of the Jewish holiday:Hanukkah,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare,recipes can be on the table in 30 minutes and even less, kosherrecipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9781387985203,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['Book', 'Recipes', 'cooking', 'Jewish', 'dishes', 'Salads', 'fruits', 'vegetables', 'kosher', 'Hanukkah', 'smadar', 'smadar ifrach']"
"Nathan, Shipbuilder of Spain",Alice Lockmiller,Ebook,USD 2.95,"In 1480 AD, Spain is a Catholic country.  Spanish Jews are being tortured and forced to become Christians at the beginning of the Spanish Inquisition.  Nathan is a fourteen year-old apprentice shipbuilder who is building a special ship.  Will he help his Jewish uncle escape on that ship?  Will he fulfill his dream and sail on her too?",2011,English,9781105118685,Fiction,All Rights Reserved - Standard Copyright License,By (author): Alice Lockmiller,,,,,PDF,"['Teen', 'Tween', 'Historical Fiction', 'Spain', 'Youth', 'Ages 10-12', 'Homeschooling', 'boy', 'World History', 'Catholic']"
A MAJOR DECISION (DATE: 22 JULY 2016),James Reesor,Paperback,USD 7.77,"JEWS, MUSLIMS, CHRISTIANS and everyone else on this planet need to be told why “ONLY SOULS” can potentially exist eternally after death of flesh. Vital information has been made available by Prophet Malachi ElijahMan a.k.a. James Reesor that will impact America and the world only if “TRUTH” is shared. It would be a huge mistake for political and religious leaders to ignore “A MAJOR DECISION (DATE: 22 JULY 2016)” and “PRIORITIZED OBJECTIVES.” Get more info @ FireHotNews.com",2016,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): James Reesor,16,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['major decision', 'date july', 'elijahman', 'james reesor']"
Strange Wives: The Paradox of Biblical Intermarriage,"Stanley Ned Rosenbaum, Ph.D",Hardcover,USD 39.95,"Strange Wives: The Paradox of Biblical Intermarriage is an unorthodox look at a controversial subject. It is written in an unconventionally conversational style by a traditionally trained scholar and an ordained rabbi. The book traces the history of attitudes toward “marrying out” and demonstrates that the famous edict of Ezra that Jews divorce their “strange wives” was in fact a departure from earlier assumptions and practice. At the same time, it illuminates the nature of personal relationships and family interactions during the biblical period.",2014,English,9780986322600,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Stanley Ned Rosenbaum, Ph.D, By (author): Rabbi Allen Secher",366,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bible', 'Interfaith', 'Intermarriage', 'Ruth', 'Esther', 'Jewish Christian Intermarriage', 'marrying out', 'biblical history']"
Re-reading Romans in context,Graham Jackman,Paperback,USD 7.91,"Breaking with the tradition of reading Romans as a theological treatise devoted essentially to ‘justification by faith’, this ‘re-reading’, drawing upon the insights of the ‘new perspective on Paul’, views it as a true letter written to Christians in Rome.  It argues that Paul’s prime concern in Romans is the troubled relationship of Jews and Gentiles in the early church, and specifically in Rome, and it seeks to follow the Apostle’s argument and his attempts to bring the separate groups together in unified worship. It also includes a short overview of the early church in Rome, a brief introduction to issues of reading and interpretation, and reflections on the importance of Romans for readers today.",2013,English,9781291342130,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Graham Jackman,265,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Romans', 'exposition', 'Paul']"
