Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
Jewish Shield of the Soviet Union,Mark Shteynberg,Paperback,USD 15.95,"The book  “Jewish shield of the Soviet Union” presents military history of the Jews in the Soviet Union since the beginning of World War II and until the collapse of the Soviet Union. The book covers military service, intelligence, research and development in the defense industry. The facts, names, and statistical data presented in the book are sensational, and some were completely unknown until now. There are life stories  of almost 2000 characters and  more than 400 portraits.",2011,Russian,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Mark Shteynberg,446,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['Jewish history', 'Jews in military', 'Soviet Union']"
The Book of Delight,Israel Abrahams,Paperback,USD 7.00,"Isarael Adams presents a remarkable collection of Jewish stories primary from the Jews of Eastern Europe. Israel Abrahams was an English author and teacher; born in
London, November 26, 1858; son of Barnett Abrahams. He received his education at Jews' College, of which his father was principal, and at University College, London. He  received the degree of M.A. from the University of London in 1881. Abrahams taught secular subjects as well as homiletics at Jews' College, and was appointed senior tutor of that
institution in 1900. He was a forceful lecturer and an earnest lay preacher. This is a pre-holocaust collection of stories.",2014,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): Israel Abrahams,212,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish Stories', 'Jaredites']"
Past and Future,Konrad A.A. Böndel,Paperback,USD 19.90,"If we look into our past we notice that about 4.400 million of years the planet ´mars´ crashed against our ´earth´, causing an enormous explosion which formed our ´moon´, creating an atmosphere full of elements such as ´carbon dioxide´ ´hydrogen´, ´oxygen´, ´nitrogen´,
´calcium´ and ´sulfur´. Everything necessary for our life. The Universe ´was very small, and you needed
a microscope to observe it,but suddenly double its size every 10 to 30 seconds, becoming 10.000.000.000.000.000.000.000.000 times bigger,
making our existence possible, including whirl winds and many gases to fill the Universe, because without them we could not have stars, but only gases and eternal darkness.",2018,English,9780359246441,History,All Rights Reserved - Standard Copyright License,By (author): Konrad A.A. Böndel,78,Paperback,Black & White,Pocket Book (4.25 x 6.875 in / 108 x 175 mm),,"['Palestina', 'Jerusalem', 'Israel', 'Jews']"
ΟΙ ΕΒΡΑΙΟΙ,Hilaire Belloc,Ebook,USD 15.00,"Το «ΟΙ ΕΒΡΑΙΟΙ » αποτελεί ουσιαστικά ένα ψυχογράφημα του διαχρονικού κατά τα φαινόμενα Εβραϊκού προβλήματος και των συστατικών του μερών, των Εβραίων και εκείνων ανάμεσα στους οποίους αυτοί περιπλανώνται αέναα. Ένα βιβλίο που γράφτηκε με σκοπό την κατανόηση των βαθύτερων αιτιών που παράγουν το πρόβλημα και διαφοροποιούν τόσο χαρακτηριστικά και αθεράπευτα τον Εβραίο από τον περίγυρο του, όχι φυσικά στον επιφανειακό επίπεδο, στο οποίο εκείνος μόνος ίσως από όλους τους ανθρώπους μπορεί και προσλαμβάνει τα πιστά χρώματα κάθε ανθρώπινης κοινωνίας, αλλά στο ριζικό και ενδόμυχο επίπεδο του εθνικού και φυλετικού ενστίκτου. Ένα βιβλίο που γράφτηκε προκειμένου να διαλύσει τις αυταπάτες και τις πλάνες εκατέρωθεν, τόσο των οπαδών της σύγκρουσης και του ανταγωνισμού μεταξύ των δύο μερών, όσο και εκείνων που θυσιάζουν την αξιοπρέπεια, τη λογική, και κυρίως την Αλήθεια στον βωμό της προσωρινής και απατηλής ειρηνικής συμβίωσης. Ένα βιβλίο εν τέλει που γράφτηκε όπως λέγει και ο συγγραφέας του με τον σκοπό της Δικαιοσύνης και όχι με τον σκοπό του εντυπωσιασμού και της συμπόρευσης με το καταστροφικό ρεύμα τυφλού μίσους και εκδίκησης.",2021,Greek,N/A,History,No Known Copyright (Public Domain),"By (author): Hilaire Belloc, Translated by: Paris-Panagiotis Tachos",,,,,PDF,"['Belloc', 'jews']"
"Philo of Alexandria, On the unchangableness of God",Apostle Horn,Paperback,USD 12.70,"In Antiquities of the Jews, Josephus tells of Philo's selection by the Alexandrian Jewish community as their principal representative before the Roman emperor Gaius Caligula. He says that Philo agreed to represent the Alexandrian Jews in regard to civil disorder that had developed between the Jews and the Greeks in Alexandria, Egypt. Josephus also tells us that Philo was skilled in philosophy, and that he was brother to an official called Alexander the alabarch. According to Josephus, Philo and the larger Jewish community refused to treat the emperor as a god, to erect statues in honor of the emperor, and to build altars and temples to the emperor. Josephus says Philo believed that God actively supported this refusal.",2019,English,9780244794040,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Apostle Horn,34,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Philo', 'Moses']"
Morocco Beyond The Legend,Zak Ettamymy,Hardcover,USD 42.49,"History of Morocco
Morocco and USA
Jews in Morocco
Berbers
Western Sahara conflict
Moroccan empire
Andalusia
Casablanca",2007,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Zak Ettamymy,139,Hardcover,Color,US Trade (6 x 9 in / 152 x 229 mm),,[]
Museum of Evil,Gregory Bendetowies,Paperback,USD 14.95,"I live with eleven people in a glass enclosed room in the “Museum of Evil” in Berlin, Germany. We are the only Jewish people alive. We are kept here for their propaganda depicting the Jews as Evil.",2009,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): Gregory Bendetowies,284,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Jews', 'History', 'Jewish', 'Nazi', 'Museum', 'Germany', 'survival', 'hope', 'love']"
Un - Sentenced For Life,Jo Ann Schneider Farris,Paperback,USD 10.00,"""It's complicated.""   No, I'm complicated. 
 
Is there anyone like me?  

Is there anyone out there who is Jewish, who was attracted to the love of the Jesus Movement, who worked as a teacher in a Pentecostal Christian school, who lived in a Christian commune, who attended a deaf church, who served for years with Jews for Jesus as a volunteer and also a missionary, who spoke in hundreds of churches, who worked for Focus on the Family, who led a cause to expose the ""wrongs"" of Jews for Jesus, who also taught skating for years, who raised her children as secular Jews, who sought G-d in Orthodox Judaism, whose husband almost died in a horrible accident, who unschooled her children, and who became ""sort of famous"" because of her writing about figure skating?

Perhaps Jonah and I also have something in common...

I do hope that whoever reads my story will enjoy getting to know me and at the same time be entertained. 

Happy reading!

JO ANN",2015,English,9781312939646,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jo Ann Schneider Farris,135,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['God', 'Jews for Jesus', 'Jewish', 'spiritual search']"
Eclectic Miscellany: Select Essays on the Jewish Experience,Shelomo Alfassa,Hardcover,USD 28.99,"ECLECTIC MISCELLANY: SELECT ESSAYS ON THE JEWISH EXPERIENCE is a volume of collected essays from the 18th and 19th century, on topics related to the wide scope of the Jewish experience from Spain to India, from Ottoman Turkey to the American Jews and from the Jews of Eastern Europe to the Holy Land and out to Ethiopia.",2011,English,9781257826674,History,All Rights Reserved - Standard Copyright License,By (author): Shelomo Alfassa,254,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jews', 'Jewish', 'Ethiopia', 'Spain', 'France', 'Austria', 'Europe']"
A World Without Us,Manuela Dviri,Ebook,USD 6.29,"The Saga of a Jewish Family in Italy before the 1938 Racial Laws came in. A normal family. A normal life.
If Hitler had won, I would never have been born, nor would my children and my grandchildren. 
There would be no Jews left in the world, no Roma people, no disabled people, no homosexuals.
And the world without Jews, homosexuals, disabled and Roma would seem entirely normal to everyone.",2017,English,9781326928322,History,All Rights Reserved - Standard Copyright License,By (author): Manuela Dviri,,,,,PDF,"['Italian Jewish', 'racial laws', 'shoah', 'Italy']"
The Yeshivah Buchor,Alan Edward Fish,Paperback,USD 22.76,"Dear Alan,
          You described yourself as the least successful writer in the Western World.  Going through the box of material you left here I have to say you sure as hell ain't that.  You have a real body of work written and rejection hasn't stopped you from doing what you love.  What you say about your reasons for writing sound pretty right to me.  I'm so glad you've kept writing and hope you never stop.  Who knows.  Neither one of us is dead yet.  Anything is possible.
                                                             Yours,
                                                               Paul",2014,English,9781312036116,Fiction,All Rights Reserved - Standard Copyright License,By (author): Alan Edward Fish,581,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Greek Islands', 'American Jews']"
The Concise History of Antisemitism in Persia,Rabbi Raphael Harris,Paperback,USD 7.83,The history of Persia and the Jews of Persia is told from Biblical to modern times.,2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rabbi Raphael Harris,104,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Persia', 'Iran', 'History', 'Ancient', 'Jewish', 'Antisemitism']"
"Jesus, The Nazorean",Elaine Hilsenrath,Ebook,USD 12.50,"An Investigation and Analysis of the Origins, Ideology, and Activities of the Community of Jews Who Followed Jesus 
The Sect of the Nazoreans",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Elaine Hilsenrath,,,,,PDF,"['Jesus', 'Nazorean']"
موسوعة تاريخ بني إسرائيل - الجزء الثالث,Dr. Ahmed M. Safwat,Hardcover,USD 74.28,"Many times the facts are before our eyes, but we do not see them, and other times those facts need a great search and painstaking investigation to investigate and verify them, and here is the Encyclopedia of History of Israel sons investigating many missing facts and placing them in your hands and before your eyes .. The Encyclopedia of History of Israel sons is a historical epic and cut Literary and cultural treasure for all lovers of history and literature is not worthy of money .. The encyclopedia contains a high degree of transparency, and a huge amount of information that was personally surprised by it .. I actually consider it a son of my sons or a girl of my daughters .. and you will not believe the effort that I made for it in order for me to put it in your hands .. I did not mean money or fame in writing it as much as I mean to convey the truth .. O you who search for the truth without excess or negligence, this is an encyclopedia of the history of the Children of Israel in your hands. I present it to you, and I hope that God will benefit the worlds forever and ever. And the length of time .. The Encyclopedia of History of Israel sons is a study in four volumes that lasted for more than five years, of the heritage of the Jews and their ancient and modern history. This historical encyclopedia deals with the emergence of the ""Jews"" of Israel, and their long struggle from beginning to end, and sheds light on the world that surrounds us, the position of the Jews in relation to this world, and their inevitable destiny .. In that it sheds light on the Jews of the Torah or the ancient Jews ""Bani Israel The Torah ""unparalleled clearly reveals the difference between them and the Jews of the present age from a purely scientific, anthropological and historical aspect. This historical encyclopedia talks about the history of the Jews since ancient times, their characteristics, their corruption on earth (the first and second time), their great height, the reality of the world today, how they control the world, the story of Solomon's temple, their bitter end, the cosmic laws of God, and good tidings for Muslims to conquer the Levant ; Syria and Palestine. This encyclopedia deals with the history of the Jews in different and important stages, such as the Babylonian and Roman exile, the mission of Jesus bin Mary, the mission of the Prophet .. It sheds light on the Jews' conflict with the Romans at one time and with the Christians at ...",2021,Egyptian,9781716161254,History,All Rights Reserved - Standard Copyright License,By (author): Dr. Ahmed M. Safwat,492,Hardcover,Color,Executive (7 x 10 in / 178 x 254 mm),,"['history', 'middle east', 'jews', 'iewish', 'war', 'peace', 'israel', 'isaac', 'jacob', 'abraham', 'israel sons', 'bani israel', 'beginning of israel', 'end of israel', 'jews in egypt', 'jews in cinema']"
The Lost Tribes of Israel,Michael Hur,Paperback,USD 21.00,"The Lost Tribes of Israel
This book explores the true history of what happened to the Lost Tribes of Israel.  The book gives you detailed information about the events, and prophecy pertaining to the scattering of Israel.  The Lost Tribes of Israel gives an accurate and historical tracking of the bloodline connections of the people of Israel.  Explore the truth and controversy of the greatest cover-ups in history.",2016,English,9781365204715,History,All Rights Reserved - Standard Copyright License,By (author): Michael Hur,218,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Christianity', 'Israel', 'Jews', 'Hebrews', 'UFO', 'Jacob']"
ΟΙ ΕΒΡΑΙΟΙ,Hilaire Belloc,Paperback,USD 18.50,"Το «ΟΙ ΕΒΡΑΙΟΙ » αποτελεί ουσιαστικά ένα ψυχογράφημα του διαχρονικού κατά τα φαινόμενα Εβραϊκού προβλήματος και των συστατικών του μερών, των Εβραίων και εκείνων ανάμεσα στους οποίους αυτοί περιπλανώνται αέναα. Ένα βιβλίο που γράφτηκε με σκοπό την κατανόηση των βαθύτερων αιτιών που παράγουν το πρόβλημα και διαφοροποιούν τόσο χαρακτηριστικά και αθεράπευτα τον Εβραίο από τον περίγυρο του, όχι φυσικά στον επιφανειακό επίπεδο, στο οποίο εκείνος μόνος ίσως από όλους τους ανθρώπους μπορεί και προσλαμβάνει τα πιστά χρώματα κάθε ανθρώπινης κοινωνίας, αλλά στο ριζικό και ενδόμυχο επίπεδο του εθνικού και φυλετικού ενστίκτου. Ένα βιβλίο που γράφτηκε προκειμένου να διαλύσει τις αυταπάτες και τις πλάνες εκατέρωθεν, τόσο των οπαδών της σύγκρουσης και του ανταγωνισμού μεταξύ των δύο μερών, όσο και εκείνων που θυσιάζουν την αξιοπρέπεια, τη λογική, και κυρίως την Αλήθεια στον βωμό της προσωρινής και απατηλής ειρηνικής συμβίωσης. Ένα βιβλίο εν τέλει που γράφτηκε όπως λέγει και ο συγγραφέας του με τον σκοπό της Δικαιοσύνης και όχι με τον σκοπό του εντυπωσιασμού και της συμπόρευσης με το καταστροφικό ρεύμα τυφλού μίσους και εκδίκησης.",2021,Greek,9781365442117,History,No Known Copyright (Public Domain),"By (author): Hilaire Belloc, Translated by: Paris-Panagiotis Tachos",274,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['Belloc', 'Jews']"
We Survived ... At Last I Speak,Leon Malmed,Paperback,USD 18.00,"This is the true story of Leon’s and his sister Rachel’s escape from the Holocaust in Occupied France. In 1942 gendarmes arrested Leon’s parents as Jews, and two French neighbors generously offered to watch the children “until they returned.” Leon’s parents never returned, so their downstairs neighbors, Henri and Suzanne Ribouleau, gave Leon and Rachel a home and sheltered them through roundups, threats, air raids, and privations war. The courage, sympathy, and dedication of the Ribouleaus stood in strong contrast to the collaborations of the French authorities. Leon and Rachel each came to America after the war, but kept their strongest family ties to “Papa Henri and Maman Suzanne,” whom Yad Vashem honored in 1977 as “Righteous Among the Nations”. Leon’s story speaks at last of the courage and love that sustained him, against a backdrop of tragedy, fear, prejudice, and the greatest moral outrage of the modern era. It is a story of goodness surviving evil again and again and again.",2013,English,9781609620264,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Leon Malmed,232,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Holocaust', 'France', 'Jews', 'Nazis', 'Righteous', 'rescue']"
"So Deeply Scarred: A History of ""Christian"" Anti-Semitism",Howard Morgan,Paperback,USD 10.00,"Holocaust scholar Raul Hilberg summarized the historical progression of “Christian” anti-Semitism in this way:

1.	You have no right to live among us as Jews.
2.	You have no right to live among us.
3.	You have no right to live.

In this book, I have organized this history chronologically.  It shows a pattern repeated again and again from the Roman period through the present day. We witness Crusades, Inquisitions, Expulsions and Pogroms, all of which culminated in the Holocaust.  As we study this history we can see the year-by-year, decade-by-decade and century-by-century operation of the spirit of anti-Semitism.  History shows us when, where and how it spread. It temporarily subsides in one place and then emerges in another. We are witnessing its present-day resurgence, not only via violent terrorist attacks but in many other ways as well.",2015,English,9781329065451,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Howard Morgan,118,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Anti-Semitism', 'Howard Morgan', 'Jews', 'Holocaust', 'Christian', 'Israel']"
Deicide At The Second Vatican Council,Dr William von Peters,Paperback,USD 18.95,"Vatican II was largely, and perhaps most famously, about Deicide – a massive media campaign blitzed the Council Fathers to promote a change in Catholic teaching – nothing less than the exoneration of the Jews of complicity in the crucifixion of Jesus Christ. 
   This is the story of the struggle and failure by Jewish groups, and of Bishop Luigi Carli, chairman of the commission which reworked the rejected Declaration on the Jews for Pope Paul VI. Bishop Carli’s articles written while the Council was on-going were “lost” until finally located by Professor von Peters and translated into English. 
   This work showcases Bishop Carli’s articles, giving the good Bishop’s own thoughts, research and reasons for rejecting the original Declaration. Carli, later an Archbishop, was Pope Paul VI’s man to settle the questions of deicide, rejection of the Jews, etc. 
   Supplementary materials highlight the struggle.",2019,English,9780359928989,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Dr William von Peters,160,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Vatican II', 'Vatican Council', 'Deicide', 'Carli', 'Bishop Carli', 'Declaration on Jews', 'Nostra Aetate', 'Judeo-Christianity', 'Pope Paul VI']"
Torah and Zionism?,anonymous anonymous,Ebook,USD 10.34,Does the Torah require Jews to live in Israel?  Does the Torah require even yeshiva students to serve in the Israeli army?,2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): anonymous anonymous,,,,,PDF,"['torah', 'zionism', 'tzahal', 'Religion', 'Spirituality', 'Judaism', 'Judaica']"
"MARTINEZ, A Spanish-Jewish Family of New Mexico",Perry Peña,Ebook,USD 5.97,"Martinez, A Spanish Jewish Family of New Mexico is a book detailing much of the lost historic proof and some of the new scientific proof that this family in New Mexico is clearly of Jewish origin. Further this book explains the ills which have come to the Martinez' and other Hispanic families in New Mexico from falling away from their true identity as it encourages them all to return to their full identity.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Perry Peña,,,,,PDF,"['Genealogy', 'History', 'Jews', 'Jewish', 'Judaism', 'DNA', 'Spanish', 'Martinez', 'crypto Jews']"
King Cyrus Gift,H Boulton,Paperback,USD 10.07,"The account of King Cyrus giving his 50,000 Jews their freedom, and their troublesome journey back to Jerusalem.",2009,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): H Boulton,216,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['Biblical Novel']
Lamb of God,Julie Holden,Paperback,USD 3.83,How did the Jews come to believe that the Eucharist really is the body and blood of Christ? How did they come to believe that the Last Supper meant they ate Jesus’ flesh and blood? All they understood about God from their Jewish faith gave them what they needed to know about the Eucharist.,2019,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Julie Holden,88,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['Lamb of God']
Kiddush HaShem: Martyrdom and Self-Sacrifice During the First Crusade,David Singer,Hardcover,USD 22.99,The martyrology and self-sacrifice of the Jews of Germany's Rhineland Valley during the final years of the eleventh century.,2008,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): David Singer,39,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jew', 'Crusade', 'First', 'Rhineland', 'Sacrifice', 'Martyr', 'Josipon', 'Mainz', 'Rashi']"
Turkmania,Johnny OddChild,Paperback,USD 5.00,"When you think about the Middle East, how many ethnic groups can you name? Most people can only name one or two, namely just Arabs and Jews. There are actually many languages and different cultures that exist in the Middle East. This books shares stories and experiences in reaching out to Syrian Turkmen.",2014,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Johnny OddChild,72,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['evangelism', 'missions', 'missiontrips', 'storying']"
The Cold Widow,Edward Sorg,Paperback,USD 13.90,"«The Cold Widow», this impossible love story between a young nobleman, Henselin Lapp, from the Zorn family and a young Jewish woman, will bring the reader into the city of Strassburg in the 14th century, at a time where Jews were persecuted.",2016,English,9781326660413,Fiction,All Rights Reserved - Standard Copyright License,By (author): Edward Sorg,114,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['historical novel', 'historical romance', 'Jews', 'Jewishness', 'Jews Alsace', 'Jewish Alsace', 'Jews Elsass', 'Jewish Elsass', 'Jews Strassburg', 'Jewish Strassburg', 'Jews Strasbourg', 'Jewish Strasbozrg', 'Jews persecution', 'Judaism Alsace', 'Judaism Elsass', 'Judaism Strassburg']"
Siddur Hokhmath Israel - Shabbath & Weekday Prayers,Yehudah BenLewi,Hardcover,USD 59.95,"Another milestone in history! We are proud to announce that we have created the complete Shabbath & Weekday siddur (prayer book) in celebration of the 100th year celebration of our communities. This siddur includes the customs of our respective community, with halakhic explanations of prayer and its rituals. It also includes illustrations for prayer and tying tefillin. In addition, this prayer book is suited for readers of multiple levels, having linear Hebrew to English transliteration and an English translation on the same page, making it easy for those who are still learning or interested in learning Hebrew to follow. We pride ourselves on serving our respective community and hope that this siddur will bring healing, inspiration, success and refinement to all Israel everywhere, here and abroad. We anticipate publishing more resources for our respective congregations, in hopes that it will allow for education, growth and continuity of our legacy for future generations to come.",2019,English,9780359848638,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Yehudah BenLewi, By (author): Shalomoh Ben Amsi HaLewi",566,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Prayer Book', 'Judaism', 'Black Jews', 'West African Jews', 'Siddur', 'Commandment Keepers', 'Beth HaTefillah', 'Jews', 'Jewish Prayers', 'Shabbos', 'Shabbat', 'Israelite', 'Jewish Liturgy']"
Ancient Feasts Foretell the Future,Erica Nugent,Paperback,USD 12.56,"When will our Bridegroom return?  This book looks at End Times signs in the ancient festivals of the Jews.  Jesus said, ""No-one knows the day or the hour"" when he will return, but we can know the times and the season.  Jesus also said, ""Keep watch!""  Be ready.",2019,English,9780244777098,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Erica Nugent,138,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Armageddon', 'End Times', 'Jesus', 'Second Coming', 'Jesus Returns', 'Messiah', 'Jewish Feasts', 'Feast of Trumpets', 'Passover']"
موسوعة تاريخ بني إسرائيل - الجزء الرابع,Dr. Ahmed M. Safwat,Hardcover,USD 81.02,"Many times the facts are before our eyes, but we do not see them, and other times those facts need a great search and painstaking investigation to investigate and verify them, and here is the Encyclopedia of History of Israel sons investigating many missing facts and placing them in your hands and before your eyes .. The Encyclopedia of History of Israel sons is a historical epic and cut Literary and cultural treasure for all lovers of history and literature is not worthy of money .. The encyclopedia contains a high degree of transparency, and a huge amount of information that was personally surprised by it .. I actually consider it a son of my sons or a girl of my daughters .. and you will not believe the effort that I made for it in order for me to put it in your hands .. I did not mean money or fame in writing it as much as I mean to convey the truth .. O you who search for the truth without excess or negligence, this is an encyclopedia of the history of the Children of Israel in your hands. I present it to you, and I hope that God will benefit the worlds forever and ever. And the length of time .. The Encyclopedia of History of Israel sons is a study in four volumes that lasted for more than five years, of the heritage of the Jews and their ancient and modern history. This historical encyclopedia deals with the emergence of the ""Jews"" of Israel, and their long struggle from beginning to end, and sheds light on the world that surrounds us, the position of the Jews in relation to this world, and their inevitable destiny .. In that it sheds light on the Jews of the Torah or the ancient Jews ""Bani Israel The Torah ""unparalleled clearly reveals the difference between them and the Jews of the present age from a purely scientific, anthropological and historical aspect. This historical encyclopedia talks about the history of the Jews since ancient times, their characteristics, their corruption on earth (the first and second time), their great height, the reality of the world today, how they control the world, the story of Solomon's temple, their bitter end, the cosmic laws of God, and good tidings for Muslims to conquer the Levant ; Syria and Palestine. This encyclopedia deals with the history of the Jews in different and important stages, such as the Babylonian and Roman exile, the mission of Jesus bin Mary, the mission of the Prophet .. It sheds light on the Jews' conflict with the Romans at one time and with the Christians at .....",2021,Egyptian,9781716119040,History,All Rights Reserved - Standard Copyright License,By (author): Dr. Ahmed M. Safwat,428,Hardcover,Color,Executive (7 x 10 in / 178 x 254 mm),,"['History', 'Jews', 'Jewish', 'war', 'peace', 'Israel sons', 'israel children', 'Jacob', 'Abraham', 'Isaac', 'modern history of jews', 'ancient history of jews', 'zionism', 'beginning of israel', 'end of israel']"
Remember Observe Rejoice,Petra van der Zande,Paperback,USD 17.99,"The revised version of REMEMBER, OBSERVE, REJOICE is a reference guide to the Jewish Feasts, Holidays, Memorial Days and Events. The commandment to rejoice accompanied Jews throughout their long history. Today, the people of Israel continue to enjoy each happy event in the Jewish life cycle - from circumcision to bar mitzvah to marriage. And you don’t have to be a religious Jew to celebrate the pilgrim festivals and the Shabbat. 
This book gives background information on how the festivals and events were celebrated in Biblical times, and how it is done today, in the re-born State of Israel. The guide will help to gain more respect and appreciation for the Biblical Festivals, the Jewish Holidays and the Word of God. This book gives answers to many questions, as it explains Jewish customs and rituals which are often not mentioned in the travel guides. 
Not only pilgrims and tourists, but also volunteers staying in Israel for a longer period of time, will find this book a helpful tool.",2017,English,9789657542613,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Petra van der Zande,120,Paperback,Black & White,Crown Quarto (7.44 x 9.68 in / 189 x 246 mm),,"['Jewish Holy Days', 'Feasts', 'Memorial Days', 'customs', 'Orthodox Jews', 'religious Jews', 'Christians', 'Christian Zionists']"
"Jesus, The Nazorean",Elaine Hilsenrath,Ebook,USD 25.00,"An Investigation and Analysis of the Origins, Ideology, and Activities of the Community of Jews Who Followed Jesus 
The Sect of the Nazoreans",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Elaine Hilsenrath,,,,,PDF,"['Jesus', 'Nazorean']"
"Jesus, The Nazorean",Elaine Hilsenrath,Hardcover,USD 47.70,"An Investigation and Analysis of the Origins, Ideology, and Activities of the Community of Jews Who Followed Jesus 
The Sect of the Nazoreans",2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Elaine Hilsenrath,188,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Jesus', 'Nazorean']"
موسوعة تاريخ بني إسرائيل - الجزء الأول,Dr. Ahmed M. Safwat,Hardcover,USD 64.02,"Many times the facts are before our eyes, but we do not see them, and other times those facts need a great search and painstaking investigation to investigate and verify them, and here is the Encyclopedia of History of Israel sons investigating many missing facts and placing them in your hands and before your eyes .. The Encyclopedia of History of Israel sons is a historical epic and cut Literary and cultural treasure for all lovers of history and literature is not worthy of money .. The encyclopedia contains a high degree of transparency, and a huge amount of information that was personally surprised by it .. I actually consider it a son of my sons or a girl of my daughters .. and you will not believe the effort that I made for it in order for me to put it in your hands .. I did not mean money or fame in writing it as much as I mean to convey the truth .. O you who search for the truth without excess or negligence, this is an encyclopedia of the history of the Children of Israel in your hands. I present it to you, and I hope that God will benefit the worlds forever and ever. And the length of time .. The Encyclopedia of History of Israel sons is a study in four volumes that lasted for more than five years, of the heritage of the Jews and their ancient and modern history. This historical encyclopedia deals with the emergence of the ""Jews"" of Israel, and their long struggle from beginning to end, and sheds light on the world that surrounds us, the position of the Jews in relation to this world, and their inevitable destiny .. In that it sheds light on the Jews of the Torah or the ancient Jews ""Bani Israel The Torah ""unparalleled clearly reveals the difference between them and the Jews of the present age from a purely scientific, anthropological and historical aspect. This historical encyclopedia talks about the history of the Jews since ancient times, their characteristics, their corruption on earth (the first and second time), their great height, the reality of the world today, how they control the world, the story of Solomon's temple, their bitter end, the cosmic laws of God, and good tidings for Muslims to conquer the Levant ; Syria and Palestine. This encyclopedia deals with the history of the Jews in different and important stages, such as the Babylonian and Roman exile, the mission of Jesus bin Mary, the mission of the Prophet .. It sheds light on the Jews' conflict with the Romans at one time and with the Christians at other time....",2021,Egyptian,9781716169816,History,All Rights Reserved - Standard Copyright License,By (author): Dr. Ahmed M. Safwat,408,Hardcover,Color,Executive (7 x 10 in / 178 x 254 mm),,"['History', 'middle east', 'jews', 'war', 'israel', 'palestine', 'peace', 'isaac', 'jacob', 'abraham', 'jewish', 'beginnig of israel', 'end of israel', 'ancient history of israel', 'modern history of israel']"
